overdue, is_yun, career_state, sort_time, career_talk_id, company_id, company_name, logo, hotcount, professionals, career_type, recruit_type, company_review, company_property, industry_category, city_name, meet_name, meet_time, school_name, address, room, view_count, recept_faculty, is_above_college_degree, is_above_bachelor_degree, is_above_master_degree, is_above_doctor_degree, is_recommend, recommend_time, meet_day
0, 0, 0, -1522285200, 94837, 9821, 辉瑞投资有限公司, http://yun-campus-res.oss-cn-shenzhen.aliyuncs.com/company/1461897606-9494.gif, 11, 临床医学、市场营销、生物医学工程、药学、制药工程, , , None, 三资企业, 卫生和社会工作, 深圳, 辉瑞投资有限公司, 09:00, , 【常】复临舍105, None, 3488, 毕业生就业指导中心, 0, 1, 0, 0, 0, 0, 2018-03-29
0, 0, 0, -1522285200, 97911, 130667, 湖南常德津市市委组织部, http://pic.bibibi.net/public/images/icon/2.png, 0, , , 正式宣讲, , 机关, 公共管理、社会保障和社会组织, , 湖南常德津市市委组织部&津市市第一中学招聘公告, 09:00, , 【常】复临舍106, , 2731, , 0, 0, 0, 0, 0, 0, 2018-03-29
0, 0, 0, -1522234800, 93447, 68668, 深圳市有棵树科技股份有限公司, http://yun-campus-res.oss-cn-shenzhen.aliyuncs.com/company/1503712954-5267.png, 8, 财政学、经济统计学、英语、统计学、数学与应用数学、人力资源管理、工商管理、不限专业, , 正式宣讲, , 民营企业, 批发和零售业, 深圳, 深圳市有棵树科技股份有限公司2018年校园招聘, 19:00, , 复临舍308, , 3364, 毕业生就业指导中心, 0, 0, 0, 0, 0, 0, 2018-03-28
0, 0, 0, -1522234800, 91736, 117918, 深圳TCL新技术有限公司, http://yun-campus-res.oss-cn-shenzhen.aliyuncs.com/company/1519614458-7326.jpg, 2, 财务管理、财务会计教育、计算机类、计算机科学与技术、电子与计算机工程、物流管理与工程类、物流管理、物流工程、机械设计制造及其自动化、工业设计、集成电路设计与集成系统、服装设计与工程、服装设计与工艺教育、飞行器设计与工程、戏剧影视美术设计、设计学类、艺术设计学、视觉传达设计、环境设计、产品设计、服装与服饰设计、机械电子工程、电子信息类、电子信息工程、电子科学与技术、微电子科学与工程、电子封装技术、电子信息科学与技术、应用电子技术教育、电子与计算机工程、船舶电子电气工程、电子商务类、电子商务、电子商务及法律、, , 正式宣讲, , 三资企业, 制造业, 深圳, TCL多媒体2018届春招&2019届助飞实习生（暑期）, 19:00, , 复临舍203, , 5192, 毕业生就业指导中心, 0, 1, 0, 0, 0, 0, 2018-03-28
0, 0, 0, -1522220400, 89102, 14022, 多益网络有限公司, http://yun-campus-res.oss-cn-shenzhen.aliyuncs.com/company/1501485553-2807.gif, 1, 不限专业, , 正式宣讲, , 其他企业, 信息传输、软件和信息技术服务业, 广州, 多益网络2018届春季全国校园招聘, 15:00, , 中楼217, , 4604, 毕业生就业指导中心, 0, 0, 0, 0, 0, 0, 2018-03-28
0, 0, 0, -1522220400, 92954, 122559, 天津市中力防雷技术有限公司, http://yun-campus-res.oss-cn-shenzhen.aliyuncs.com/company/1520497169-8601.jpg, 0, 不限专业, , 正式宣讲, , 民营企业, 制造业, 西青, 中力电气 2018年校园招聘宣讲会, 15:00, , 复临舍502, , 2452, 毕业生就业指导中心, 0, 1, 0, 0, 0, 0, 2018-03-28
0, 0, 0, -1522220400, 93734, 121523, 国联证券股份有限公司长沙松桂园营业部, http://yun-campus-res.oss-cn-shenzhen.aliyuncs.com/company/1520392675-6511.png, 0, 金融学、投资学、市场营销、工商管理、电子商务、财政学、投资学、金融工程、金融学类、经济学类、市场营销、财政学、金融学、投资学、经济学、人力资源管理、金融学、财政学、投资学、经济学, , 正式宣讲, , 国有企业, 金融业, 长沙, 国联证券股份有限公司长沙松桂园营业部, 15:00, , 财院校区二教104, , 3125, 毕业生就业指导中心, 0, 1, 0, 0, 0, 0, 2018-03-28
0, 0, 1, -1522220400, 93289, 120683, 北京万方数据股份有限公司, http://yun-campus-res.oss-cn-shenzhen.aliyuncs.com/company/1520304886-8995.jpg, 0, 信息与计算科学、不限专业, , 正式宣讲, , 国有企业, 信息传输、软件和信息技术服务业, 海淀区, 北京万方数据股份有限公司, 15:00, , 【常】复临舍105, , 2846, 毕业生就业指导中心, 0, 1, 0, 0, 0, 0, 2018-03-28
0, 0, 0, -1522220400, 94884, 26426, 浙江华海药业股份有限公司, http://yun-campus-res.oss-cn-shenzhen.aliyuncs.com/company/1476344101-4899.jpg, 5, 化学、化学类、应用化学、不限专业, , , None, 民营企业, 制造业, 台州, 浙江华海药业股份有限公司, 15:00, , 【临】化工院D204, None, 2725, 毕业生就业指导中心, 0, 0, 0, 0, 0, 0, 2018-03-28
0, 0, 0, -1522218600, 99126, 55809, 中核武汉核电运行技术股份有限公司, http://yun-campus-res.oss-cn-shenzhen.aliyuncs.com/company/1491009336-6693.png, 4, 机械类、机械设计制造及其自动化、电气工程及其自动化, , 正式宣讲, , 国有企业, 电力、热力、燃气及水生产和供应业, 武汉, 中核武汉核电运行技术股份有限公司2018春季校园招聘, 14:30, , 【常】复临舍106, , 2464, , 0, 0, 1, 0, 0, 0, 2018-03-28
